intersection,index
Cory Avenue,0.0
Carol Drive,0.011902999812348722
North Doheny Drive,0.02423660775921447
Hammond Street,0.04433273320199462
Hilldale Avenue,0.05395858686889946
North San Vicente Boulveard,0.0642198723956043
Larrabee Street,0.07446183477676913
Holloway Drive,0.08559963911471113
Sunset Plaza Drive,0.12410614359261747
Alta Loma Road,0.14301290820506726
North La Cienega Boulevard,0.15952691693645624
Olive Drive,0.18322109318974142
North Sweetzer Avenue,0.22119903939377208
North Harper Avenue,0.23560378339469568
Havenhurst Drive,0.2522845683675132
North Crescent Heights Boulevard,0.26928946218246114
North Laurel Avenue,0.2815277570872092
North Hayworth Avenue,0.2950501357651893
North Fairfax Avenue,0.30820016780780574
North Orange Grove Avenue,0.3189289900668017
North Ogden Drive,0.3292132558263528
North Genesee Avenue,0.3398208211951128
North Spaulding Avenue,0.3499038878711957
North Stanley Avenue,0.3593815077803163
North Curson Avenue,0.3699892890808532
North Sierra Bonita Avenue,0.38039535986313916
North Gardner Street,0.3906390673907184
North Vista Street,0.4010848219199919
North Martel Avenue,0.4112889053382738
North Fuller Avenue,0.42173507436083574
North Poinsettia Place,0.4332364747191434
North Alta Vista Boulevard,0.4450538700601392
North Formosa Avenue,0.45312016956606854
North Detroit Street,0.4630821788029161
North La Brea Avenue,0.47324489307599016
North Orange Drive,0.4975892737300967
North Mansfield Avenue,0.507659015144985
North Highland Avenue,0.5248195483192605
North McCadden Place,0.5310758657435625
North Las Palmas Avenue,0.544482768117237
North Cherokee Avenue,0.5566976648096906
Seward Street,0.576479923557098
North Hudson Avenue,0.5920907860638813
North Wilcox Avenue,0.5971556292887233
Cole Place,0.6041271836887985
North Cahuenga Boulevard,0.6116350191858655
Ivar Avenue,0.6183084473822579
Morningside Court,0.6283784769780503
Vine Street,0.6384483238977652
El Centro Avenue,0.6660959449825726
Gower Street,0.6797418813878301
Gordon Street,0.7005965136597742
Tamarind Avenue,0.7105473424403951
Bronson Avenue,0.7209751265485246
Van Ness Avenue,0.7416516324153231
Hollywood Freeway,0.7540458071592967
North Wilton Place,0.7622084135702176
North Saint Andrew's Place,0.787115391925948
Western Avenue,0.8036208946166776
Serrano Avenue,0.8238203807550486
Hobart Boulevard,0.8375250168943655
Kingsley Drive,0.8610016683641032
Normandie Avenue,0.8860869937385846
North Mariposa Avenue,0.8963354324639543
North Alexadria Avenue,0.9068222299678429
Kenmore Avenue,0.9171309058450028
Edgemont Street,0.927379458775939
Catalina Street,0.937747535619096
L Ron Hubbard Way,0.948234249350192
New Hampshire Avenue,0.9584234488027585
Vermont Avenue,0.9687318942581334
Lyman Place,0.9998352814792605
